RR,time
658,2023-04-13 13-42-55.358000
646,2023-04-13 13-42-56.004000
641,2023-04-13 13-42-56.645000
636,2023-04-13 13-42-57.281000
624,2023-04-13 13-42-57.905000
616,2023-04-13 13-42-58.521000
612,2023-04-13 13-42-59.133000
595,2023-04-13 13-42-59.728000
582,2023-04-13 13-43-00.310000
567,2023-04-13 13-43-00.877000
568,2023-04-13 13-43-01.445000
569,2023-04-13 13-43-02.014000
569,2023-04-13 13-43-02.583000
568,2023-04-13 13-43-03.151000
569,2023-04-13 13-43-03.720000
574,2023-04-13 13-43-04.294000
591,2023-04-13 13-43-04.885000
608,2023-04-13 13-43-05.493000
628,2023-04-13 13-43-06.121000
630,2023-04-13 13-43-06.751000
638,2023-04-13 13-43-07.389000
632,2023-04-13 13-43-08.021000
626,2023-04-13 13-43-08.647000
622,2023-04-13 13-43-09.269000
617,2023-04-13 13-43-09.886000
616,2023-04-13 13-43-10.502000
615,2023-04-13 13-43-11.117000
612,2023-04-13 13-43-11.729000
614,2023-04-13 13-43-12.343000
612,2023-04-13 13-43-12.955000
613,2023-04-13 13-43-13.568000
608,2023-04-13 13-43-14.176000
608,2023-04-13 13-43-14.784000
612,2023-04-13 13-43-15.396000
606,2023-04-13 13-43-16.002000
600,2023-04-13 13-43-16.602000
594,2023-04-13 13-43-17.196000
592,2023-04-13 13-43-17.788000
578,2023-04-13 13-43-18.366000
578,2023-04-13 13-43-18.944000
579,2023-04-13 13-43-19.523000
579,2023-04-13 13-43-20.102000
575,2023-04-13 13-43-20.677000
580,2023-04-13 13-43-21.257000
589,2023-04-13 13-43-21.846000
601,2023-04-13 13-43-22.447000
594,2023-04-13 13-43-23.041000
598,2023-04-13 13-43-23.639000
601,2023-04-13 13-43-24.240000
602,2023-04-13 13-43-24.842000
596,2023-04-13 13-43-25.438000
596,2023-04-13 13-43-26.034000
597,2023-04-13 13-43-26.631000
585,2023-04-13 13-43-27.216000
578,2023-04-13 13-43-27.794000
576,2023-04-13 13-43-28.370000
579,2023-04-13 13-43-28.949000
585,2023-04-13 13-43-29.534000
596,2023-04-13 13-43-30.130000
603,2023-04-13 13-43-30.733000
