RR,time
634,2023-04-11 13-29-55.294000
618,2023-04-11 13-29-55.912000
617,2023-04-11 13-29-56.529000
633,2023-04-11 13-29-57.162000
640,2023-04-11 13-29-57.802000
619,2023-04-11 13-29-58.421000
605,2023-04-11 13-29-59.026000
622,2023-04-11 13-29-59.648000
629,2023-04-11 13-30-00.277000
631,2023-04-11 13-30-00.908000
622,2023-04-11 13-30-01.530000
614,2023-04-11 13-30-02.144000
617,2023-04-11 13-30-02.761000
618,2023-04-11 13-30-03.379000
621,2023-04-11 13-30-04.000000
616,2023-04-11 13-30-04.616000
632,2023-04-11 13-30-05.248000
638,2023-04-11 13-30-05.886000
644,2023-04-11 13-30-06.530000
640,2023-04-11 13-30-07.170000
625,2023-04-11 13-30-07.795000
639,2023-04-11 13-30-08.434000
649,2023-04-11 13-30-09.083000
643,2023-04-11 13-30-09.726000
629,2023-04-11 13-30-10.355000
637,2023-04-11 13-30-10.992000
642,2023-04-11 13-30-11.634000
645,2023-04-11 13-30-12.279000
640,2023-04-11 13-30-12.919000
634,2023-04-11 13-30-13.553000
648,2023-04-11 13-30-14.201000
654,2023-04-11 13-30-14.855000
661,2023-04-11 13-30-15.516000
656,2023-04-11 13-30-16.172000
634,2023-04-11 13-30-16.806000
641,2023-04-11 13-30-17.447000
641,2023-04-11 13-30-18.088000
653,2023-04-11 13-30-18.741000
654,2023-04-11 13-30-19.395000
657,2023-04-11 13-30-20.052000
677,2023-04-11 13-30-20.729000
694,2023-04-11 13-30-21.423000
709,2023-04-11 13-30-22.132000
702,2023-04-11 13-30-22.834000
689,2023-04-11 13-30-23.523000
672,2023-04-11 13-30-24.195000
659,2023-04-11 13-30-24.854000
662,2023-04-11 13-30-25.516000
646,2023-04-11 13-30-26.162000
623,2023-04-11 13-30-26.785000
617,2023-04-11 13-30-27.402000
625,2023-04-11 13-30-28.027000
638,2023-04-11 13-30-28.665000
626,2023-04-11 13-30-29.291000
621,2023-04-11 13-30-29.912000
633,2023-04-11 13-30-30.545000
652,2023-04-11 13-30-31.197000
676,2023-04-11 13-30-31.873000
660,2023-04-11 13-30-32.533000
661,2023-04-11 13-30-33.194000
670,2023-04-11 13-30-33.864000
659,2023-04-11 13-30-34.523000
655,2023-04-11 13-30-35.178000
638,2023-04-11 13-30-35.816000
635,2023-04-11 13-30-36.451000
638,2023-04-11 13-30-37.089000
632,2023-04-11 13-30-37.721000
625,2023-04-11 13-30-38.346000
618,2023-04-11 13-30-38.964000
631,2023-04-11 13-30-39.595000
652,2023-04-11 13-30-40.247000
654,2023-04-11 13-30-40.901000
647,2023-04-11 13-30-41.548000
636,2023-04-11 13-30-42.184000
645,2023-04-11 13-30-42.829000
653,2023-04-11 13-30-43.482000
654,2023-04-11 13-30-44.136000
640,2023-04-11 13-30-44.776000
628,2023-04-11 13-30-45.404000
635,2023-04-11 13-30-46.039000
644,2023-04-11 13-30-46.683000
645,2023-04-11 13-30-47.328000
637,2023-04-11 13-30-47.965000
628,2023-04-11 13-30-48.593000
627,2023-04-11 13-30-49.220000
639,2023-04-11 13-30-49.859000
646,2023-04-11 13-30-50.505000
660,2023-04-11 13-30-51.165000
644,2023-04-11 13-30-51.809000
614,2023-04-11 13-30-52.423000
617,2023-04-11 13-30-53.040000
606,2023-04-11 13-30-53.646000
605,2023-04-11 13-30-54.251000
599,2023-04-11 13-30-54.850000
595,2023-04-11 13-30-55.445000
619,2023-04-11 13-30-56.064000
664,2023-04-11 13-30-56.728000
682,2023-04-11 13-30-57.410000
683,2023-04-11 13-30-58.093000
721,2023-04-11 13-30-58.814000
713,2023-04-11 13-30-59.527000
676,2023-04-11 13-31-00.203000
656,2023-04-11 13-31-00.859000
668,2023-04-11 13-31-01.527000
662,2023-04-11 13-31-02.189000
674,2023-04-11 13-31-02.863000
669,2023-04-11 13-31-03.532000
655,2023-04-11 13-31-04.187000
626,2023-04-11 13-31-04.813000
609,2023-04-11 13-31-05.422000
615,2023-04-11 13-31-06.037000
622,2023-04-11 13-31-06.659000
641,2023-04-11 13-31-07.300000
645,2023-04-11 13-31-07.945000
634,2023-04-11 13-31-08.579000
617,2023-04-11 13-31-09.196000
619,2023-04-11 13-31-09.815000
625,2023-04-11 13-31-10.440000
633,2023-04-11 13-31-11.073000
635,2023-04-11 13-31-11.708000
640,2023-04-11 13-31-12.348000
634,2023-04-11 13-31-12.982000
633,2023-04-11 13-31-13.615000
