RR,time
806,2023-04-13 14-36-40.864000
808,2023-04-13 14-36-41.672000
791,2023-04-13 14-36-42.463000
790,2023-04-13 14-36-43.253000
788,2023-04-13 14-36-44.041000
786,2023-04-13 14-36-44.827000
775,2023-04-13 14-36-45.602000
765,2023-04-13 14-36-46.367000
769,2023-04-13 14-36-47.136000
738,2023-04-13 14-36-47.874000
753,2023-04-13 14-36-48.627000
803,2023-04-13 14-36-49.430000
866,2023-04-13 14-36-50.296000
792,2023-04-13 14-36-51.088000
750,2023-04-13 14-36-51.838000
770,2023-04-13 14-36-52.608000
796,2023-04-13 14-36-53.404000
785,2023-04-13 14-36-54.189000
765,2023-04-13 14-36-54.954000
745,2023-04-13 14-36-55.699000
742,2023-04-13 14-36-56.441000
735,2023-04-13 14-36-57.176000
740,2023-04-13 14-36-57.916000
735,2023-04-13 14-36-58.651000
728,2023-04-13 14-36-59.379000
705,2023-04-13 14-37-00.084000
690,2023-04-13 14-37-00.774000
692,2023-04-13 14-37-01.466000
693,2023-04-13 14-37-02.159000
728,2023-04-13 14-37-02.887000
774,2023-04-13 14-37-03.661000
837,2023-04-13 14-37-04.498000
806,2023-04-13 14-37-05.304000
792,2023-04-13 14-37-06.096000
794,2023-04-13 14-37-06.890000
781,2023-04-13 14-37-07.671000
792,2023-04-13 14-37-08.463000
821,2023-04-13 14-37-09.284000
804,2023-04-13 14-37-10.088000
771,2023-04-13 14-37-10.859000
756,2023-04-13 14-37-11.615000
756,2023-04-13 14-37-12.371000
802,2023-04-13 14-37-13.173000
898,2023-04-13 14-37-14.071000
932,2023-04-13 14-37-15.003000
909,2023-04-13 14-37-15.912000
832,2023-04-13 14-37-16.744000
806,2023-04-13 14-37-17.550000
741,2023-04-13 14-37-18.291000
698,2023-04-13 14-37-18.989000
672,2023-04-13 14-37-19.661000
667,2023-04-13 14-37-20.328000
731,2023-04-13 14-37-21.059000
938,2023-04-13 14-37-21.997000
967,2023-04-13 14-37-22.964000
900,2023-04-13 14-37-23.864000
924,2023-04-13 14-37-24.788000
889,2023-04-13 14-37-25.677000
824,2023-04-13 14-37-26.501000
784,2023-04-13 14-37-27.285000
749,2023-04-13 14-37-28.034000
735,2023-04-13 14-37-28.769000
715,2023-04-13 14-37-29.484000
704,2023-04-13 14-37-30.188000
704,2023-04-13 14-37-30.892000
717,2023-04-13 14-37-31.609000
763,2023-04-13 14-37-32.372000
798,2023-04-13 14-37-33.170000
780,2023-04-13 14-37-33.950000
756,2023-04-13 14-37-34.706000
766,2023-04-13 14-37-35.472000
772,2023-04-13 14-37-36.244000
789,2023-04-13 14-37-37.033000
811,2023-04-13 14-37-37.844000
789,2023-04-13 14-37-38.633000
760,2023-04-13 14-37-39.393000
745,2023-04-13 14-37-40.138000
733,2023-04-13 14-37-40.871000
723,2023-04-13 14-37-41.594000
706,2023-04-13 14-37-42.300000
714,2023-04-13 14-37-43.014000
724,2023-04-13 14-37-43.738000
775,2023-04-13 14-37-44.513000
831,2023-04-13 14-37-45.344000
846,2023-04-13 14-37-46.190000
835,2023-04-13 14-37-47.025000
804,2023-04-13 14-37-47.829000
772,2023-04-13 14-37-48.601000
750,2023-04-13 14-37-49.351000
741,2023-04-13 14-37-50.092000
751,2023-04-13 14-37-50.843000
746,2023-04-13 14-37-51.589000
765,2023-04-13 14-37-52.354000
813,2023-04-13 14-37-53.167000
852,2023-04-13 14-37-54.019000
831,2023-04-13 14-37-54.850000
811,2023-04-13 14-37-55.661000
786,2023-04-13 14-37-56.447000
803,2023-04-13 14-37-57.250000
808,2023-04-13 14-37-58.058000
802,2023-04-13 14-37-58.860000
795,2023-04-13 14-37-59.655000
788,2023-04-13 14-38-00.443000
786,2023-04-13 14-38-01.229000
790,2023-04-13 14-38-02.019000
784,2023-04-13 14-38-02.803000
767,2023-04-13 14-38-03.570000
776,2023-04-13 14-38-04.346000
798,2023-04-13 14-38-05.144000
812,2023-04-13 14-38-05.956000
817,2023-04-13 14-38-06.773000
806,2023-04-13 14-38-07.579000
805,2023-04-13 14-38-08.384000
794,2023-04-13 14-38-09.178000
786,2023-04-13 14-38-09.964000
761,2023-04-13 14-38-10.725000
774,2023-04-13 14-38-11.499000
797,2023-04-13 14-38-12.296000
838,2023-04-13 14-38-13.134000
840,2023-04-13 14-38-13.974000
830,2023-04-13 14-38-14.804000
831,2023-04-13 14-38-15.635000
823,2023-04-13 14-38-16.458000
807,2023-04-13 14-38-17.265000
777,2023-04-13 14-38-18.042000
771,2023-04-13 14-38-18.813000
777,2023-04-13 14-38-19.590000
756,2023-04-13 14-38-20.346000
729,2023-04-13 14-38-21.075000
770,2023-04-13 14-38-21.845000
768,2023-04-13 14-38-22.613000
781,2023-04-13 14-38-23.394000
777,2023-04-13 14-38-24.171000
753,2023-04-13 14-38-24.924000
736,2023-04-13 14-38-25.660000
735,2023-04-13 14-38-26.395000
719,2023-04-13 14-38-27.114000
716,2023-04-13 14-38-27.830000
703,2023-04-13 14-38-28.533000
690,2023-04-13 14-38-29.223000
674,2023-04-13 14-38-29.897000
673,2023-04-13 14-38-30.570000
700,2023-04-13 14-38-31.270000
804,2023-04-13 14-38-32.074000
896,2023-04-13 14-38-32.970000
853,2023-04-13 14-38-33.823000
854,2023-04-13 14-38-34.677000
875,2023-04-13 14-38-35.552000
861,2023-04-13 14-38-36.413000
872,2023-04-13 14-38-37.285000
826,2023-04-13 14-38-38.111000
782,2023-04-13 14-38-38.893000
755,2023-04-13 14-38-39.648000
765,2023-04-13 14-38-40.413000
747,2023-04-13 14-38-41.160000
733,2023-04-13 14-38-41.893000
724,2023-04-13 14-38-42.617000
711,2023-04-13 14-38-43.328000
706,2023-04-13 14-38-44.034000
717,2023-04-13 14-38-44.751000
742,2023-04-13 14-38-45.493000
770,2023-04-13 14-38-46.263000
796,2023-04-13 14-38-47.059000
887,2023-04-13 14-38-47.946000
938,2023-04-13 14-38-48.884000
922,2023-04-13 14-38-49.806000
915,2023-04-13 14-38-50.721000
895,2023-04-13 14-38-51.616000
859,2023-04-13 14-38-52.475000
827,2023-04-13 14-38-53.302000
802,2023-04-13 14-38-54.104000
783,2023-04-13 14-38-54.887000
792,2023-04-13 14-38-55.679000
809,2023-04-13 14-38-56.488000
851,2023-04-13 14-38-57.339000
899,2023-04-13 14-38-58.238000
909,2023-04-13 14-38-59.147000
896,2023-04-13 14-39-00.043000
888,2023-04-13 14-39-00.931000
850,2023-04-13 14-39-01.781000
819,2023-04-13 14-39-02.600000
809,2023-04-13 14-39-03.409000
805,2023-04-13 14-39-04.214000
797,2023-04-13 14-39-05.011000
777,2023-04-13 14-39-05.788000
791,2023-04-13 14-39-06.579000
803,2023-04-13 14-39-07.382000
758,2023-04-13 14-39-08.140000
750,2023-04-13 14-39-08.890000
756,2023-04-13 14-39-09.646000
772,2023-04-13 14-39-10.418000
741,2023-04-13 14-39-11.159000
708,2023-04-13 14-39-11.867000
710,2023-04-13 14-39-12.577000
708,2023-04-13 14-39-13.285000
722,2023-04-13 14-39-14.007000
727,2023-04-13 14-39-14.734000
731,2023-04-13 14-39-15.465000
736,2023-04-13 14-39-16.201000
725,2023-04-13 14-39-16.926000
726,2023-04-13 14-39-17.652000
718,2023-04-13 14-39-18.370000
727,2023-04-13 14-39-19.097000
737,2023-04-13 14-39-19.834000
745,2023-04-13 14-39-20.579000
758,2023-04-13 14-39-21.337000
767,2023-04-13 14-39-22.104000
768,2023-04-13 14-39-22.872000
756,2023-04-13 14-39-23.628000
746,2023-04-13 14-39-24.374000
730,2023-04-13 14-39-25.104000
