RR,time
631,2023-04-13 14-37-20.331000
670,2023-04-13 14-37-21.001000
633,2023-04-13 14-37-21.634000
610,2023-04-13 14-37-22.244000
640,2023-04-13 14-37-22.884000
677,2023-04-13 14-37-23.561000
705,2023-04-13 14-37-24.266000
630,2023-04-13 14-37-24.896000
688,2023-04-13 14-37-25.584000
739,2023-04-13 14-37-26.323000
795,2023-04-13 14-37-27.118000
739,2023-04-13 14-37-27.857000
679,2023-04-13 14-37-28.536000
749,2023-04-13 14-37-29.285000
758,2023-04-13 14-37-30.043000
733,2023-04-13 14-37-30.776000
645,2023-04-13 14-37-31.421000
663,2023-04-13 14-37-32.084000
658,2023-04-13 14-37-32.742000
660,2023-04-13 14-37-33.402000
614,2023-04-13 14-37-34.016000
615,2023-04-13 14-37-34.631000
633,2023-04-13 14-37-35.264000
660,2023-04-13 14-37-35.924000
677,2023-04-13 14-37-36.601000
670,2023-04-13 14-37-37.271000
688,2023-04-13 14-37-37.959000
644,2023-04-13 14-37-38.603000
616,2023-04-13 14-37-39.219000
618,2023-04-13 14-37-39.837000
614,2023-04-13 14-37-40.451000
618,2023-04-13 14-37-41.069000
608,2023-04-13 14-37-41.677000
586,2023-04-13 14-37-42.263000
596,2023-04-13 14-37-42.859000
632,2023-04-13 14-37-43.491000
691,2023-04-13 14-37-44.182000
771,2023-04-13 14-37-44.953000
718,2023-04-13 14-37-45.671000
783,2023-04-13 14-37-46.454000
821,2023-04-13 14-37-47.275000
830,2023-04-13 14-37-48.105000
810,2023-04-13 14-37-48.915000
697,2023-04-13 14-37-49.612000
679,2023-04-13 14-37-50.291000
688,2023-04-13 14-37-50.979000
743,2023-04-13 14-37-51.722000
813,2023-04-13 14-37-52.535000
860,2023-04-13 14-37-53.395000
838,2023-04-13 14-37-54.233000
706,2023-04-13 14-37-54.939000
685,2023-04-13 14-37-55.624000
718,2023-04-13 14-37-56.342000
750,2023-04-13 14-37-57.092000
718,2023-04-13 14-37-57.810000
652,2023-04-13 14-37-58.462000
699,2023-04-13 14-37-59.161000
765,2023-04-13 14-37-59.926000
806,2023-04-13 14-38-00.732000
825,2023-04-13 14-38-01.557000
816,2023-04-13 14-38-02.373000
796,2023-04-13 14-38-03.169000
663,2023-04-13 14-38-03.832000
656,2023-04-13 14-38-04.488000
633,2023-04-13 14-38-05.121000
638,2023-04-13 14-38-05.759000
608,2023-04-13 14-38-06.367000
622,2023-04-13 14-38-06.989000
641,2023-04-13 14-38-07.630000
651,2023-04-13 14-38-08.281000
655,2023-04-13 14-38-08.936000
640,2023-04-13 14-38-09.576000
637,2023-04-13 14-38-10.213000
664,2023-04-13 14-38-10.877000
711,2023-04-13 14-38-11.588000
774,2023-04-13 14-38-12.362000
789,2023-04-13 14-38-13.151000
718,2023-04-13 14-38-13.869000
671,2023-04-13 14-38-14.540000
706,2023-04-13 14-38-15.246000
705,2023-04-13 14-38-15.951000
646,2023-04-13 14-38-16.597000
683,2023-04-13 14-38-17.280000
714,2023-04-13 14-38-17.994000
658,2023-04-13 14-38-18.652000
683,2023-04-13 14-38-19.335000
765,2023-04-13 14-38-20.100000
786,2023-04-13 14-38-20.886000
710,2023-04-13 14-38-21.596000
857,2023-04-13 14-38-22.453000
762,2023-04-13 14-38-23.215000
720,2023-04-13 14-38-23.935000
794,2023-04-13 14-38-24.729000
748,2023-04-13 14-38-25.477000
708,2023-04-13 14-38-26.185000
727,2023-04-13 14-38-26.912000
973,2023-04-13 14-38-27.885000
853,2023-04-13 14-38-28.738000
870,2023-04-13 14-38-29.608000
820,2023-04-13 14-38-30.428000
683,2023-04-13 14-38-31.111000
735,2023-04-13 14-38-31.846000
761,2023-04-13 14-38-32.607000
812,2023-04-13 14-38-33.419000
709,2023-04-13 14-38-34.128000
707,2023-04-13 14-38-34.835000
766,2023-04-13 14-38-35.601000
828,2023-04-13 14-38-36.429000
774,2023-04-13 14-38-37.203000
731,2023-04-13 14-38-37.934000
